aback|돛이 역풍을 받고
abacus|주판
abacuses|주판
abalone|전복
abalones|전복
abandon| 버리다, 떠나다, 유기하다
abandoned|버려진, 유기된
abandonment|유기, 버림
abashed|창피한, 겸연쩍은
abate| 약해지다,  약화시키다, 줄이다
abated| 약해지다,  약화시키다, 줄이다
abatement|감소, 감퇴, 경감, 완화,  경감액
abates| 약해지다,  약화시키다, 줄이다
abating| 약해지다,  약화시키다, 줄이다
abattoirs|도살장
abbey|수도원, 수녀원
abbeys|수도원, 수녀원
abbot|수도원장
abbots|수도원장
abbreviate| 줄여 쓰다, 축약하다
abbreviated|단축된, 생략된, 짧게 한
abbreviates| 줄여 쓰다, 축약하다
abbreviating| 줄여 쓰다, 축약하다
abbreviations|약어
abbé| 대수도원장, 성직자, 신부
abdicate|왕위에서 물러나다, 퇴위하다
abdicates|왕위에서 물러나다, 퇴위하다
abdicating|왕위에서 물러나다, 퇴위하다
abdomen|배, 복부
abdomens|배, 복부
abdominal|복부의
abducting|유괴하다, 납치하다
abduction|유괴
abductor|유괴범, 납치범
abductors|유괴범, 납치범
abeam|…와 직각 방향으로, 정우현으로, 좌현으로
abed|자리에 누워 있는
aberrant|도리를 벗어난, 일탈적인
aberration|일탈, 일탈적인 행동, 일탈적인 일
aberrations|일탈, 일탈적인 행동, 일탈적인 일
abet| 사주하다, 교사하다
abets| 사주하다, 교사하다
abetted| 사주하다, 교사하다
abeyance| 중지, 정지
abhor| 혐오하다
abhorred| 혐오하다
abhorrence| 혐오
abhorring| 혐오하다
abhors| 혐오하다
abide|머무르다, 깃들이다
abiding|지속적인, 변치 않는
abilities| 할 수 있음, 능력
ability| 할 수 있음, 능력
abject|극도로 비참한, 절망적인
abjectly|비참하게, 비열하게, 비굴하게.
abjuration|맹세하고 그만둠, 포기, 포기 선언
abjure| 포기하다
abjured| 포기하다
abjures| 포기하다
abjuring| 포기하다
ablative|탈격
ablaze|불길에 휩싸인
able|…할 수 있는
ablest|…할 수 있는
ably|능숙하게, 솜씨 있게
abnormal|비정상적인
abnormalities|기형, 이상
abnormality|기형, 이상
abnormally|이상하게, 변태적으로.
aboard| 탄, 탑승한, 승선한
abode|거주지, 집
abodes|거주지, 집
abolish| 폐지하다
abolished| 폐지하다
abolishes| 폐지하다
abolishing| 폐지하다
abolition| 폐지
abominable|가공할, 심히 끔찍한
abominably|밉살맞게, 지독히, 지긋지긋하게
abomination|혐오스러운 것, 가증스러운 것
abominations|혐오스러운 것, 가증스러운 것
aboriginal|오스트레일리아 원주민의
aboriginals|오스트레일리아 원주민의
aborigine|원주민
aborigines|원주민, 토착민
abort|유산시키다, 낙태시키다
aborted|유산된
aborting|유산시키다, 낙태시키다
abortion|낙태
abortions|낙태
abortive|무산된, 유산된, 수포로 돌아간
aborts|유산시키다, 낙태시키다
abound|아주 많다, 풍부하다
abounded|아주 많다, 풍부하다
abounding|풍부한, 많은
abounds|아주 많다, 풍부하다
about|약, 쯤, 경
above| 보다 위에, 보다 위로
abrading| 마멸시키다, 찰과상을 입히다
abrasion| 긁힌 부분, 찰과상
abrasions| 긁힌 부분, 찰과상
abrasive| 연마재의
abrasively|연마하여, 마멸시켜, 불쾌하게.
abrasives|연마재 
abreast|나란히
abridge| 요약하다, 축약하다
abridged|요약된
abridges| 요약하다, 축약하다
abroad|해외에, 해외로
abrogate| 폐지하다, 철폐하다
abrogated| 폐지하다, 철폐하다
abrogates| 폐지하다, 철폐하다
abrogating| 폐지하다, 철폐하다
abrupt|돌연한, 갑작스런
abrupter|돌연한, 갑작스런
abruptly|갑자기, 불쑥, 뜻밖에, 퉁명스럽게, 무뚝뚝하게
abruptness|갑작스러움, 비약, 무뚝뚝함.
abscess|종기, 농양
abscesses|종기, 농양
abscessing|종기, 농양
abscond| 무단이탈하다, 종적을 감추다
absconded| 무단이탈하다, 종적을 감추다
absconds| 무단이탈하다, 종적을 감추다
absence|결석, 결근, 부재
absences|결석, 결근, 부재
absent|결석한, 결근한
absented|결석한, 결근한
absentee|결석자, 결근자, 불참자
absenteeism| 잦은 결석, 잦은 결근
absentees|결석자, 결근자, 불참자
absenting|결석한, 결근한
absently|멍하니, 무심코
absents|결석한, 결근한
absinthe|압생트
absolute|완전한, 완벽한
absolutely|전적으로, 틀림없이
absolution|면죄 선언, 용서
absolve| 무죄임을 선언하다, 책임 없음을 선언하다
absolved| 무죄임을 선언하다, 책임 없음을 선언하다
absolves| 무죄임을 선언하다, 책임 없음을 선언하다
absolving| 무죄임을 선언하다, 책임 없음을 선언하다
absorb| 흡수하다, 빨아들이다
absorbed|~에 몰두한, 빠져 있는
absorbency|흡수성
absorbent| 잘 빨아들이는, 흡수력 있는
absorbents|흡착제
absorbing|몰입하게 만드는, 빠져들게 만드는
absorption|흡수
abstain| 기권하다
abstained|절제된
abstainer|기권자
abstainers| 기권하다
abstaining|삼가다, 끊다
abstains| 기권하다
abstemious| 자제하는
abstention|기권
abstentions|기권
abstinence| 자제, 금욕
abstinent|금욕적인, 자제하는,  술을 안 마시는
abstract|추상적인
abstracted| 마음이 쏠린, 정신이 딴 데 팔린
abstractedly|추상적으로, 멍하니
abstracting|추상적인
abstraction|관념, 추상적 개념
abstractly|추상적으로
abstractness|추상성
abstractnesses|추상적인
abstracts|추상적인
abstruse|난해한
abstrusely|난해하게, 심오하게.
